name,encoder,decoder,num_samples,code_dim,mean_global,std_global,min,max,abs_mean,l2_mean,l2_std,near_zero_1e_3,near_zero_1e_2,dim_std_mean,dim_std_std,dead_dim_ratio_1e_3,active_dim_ratio_1e_2,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,pca_top20_ratio,effective_rank,condition_number_top512,final_test_loss,final_test_nmse
mlp_ae_cnn_residual,mlp_ae,cnn_residual,100000,512,-0.16583460569381714,12.46273422241211,-68.43402862548828,68.65709686279297,4.488580226898193,282.00103759765625,3.632537841796875,0.0014740234473720193,0.01474134810268879,0.3557756841182709,0.10564736276865005,0.0,1.0,0.1923629492521286,0.2537158727645874,0.30443161725997925,0.386386901140213,134.8879852294922,306848.875,nan,nan
mlp_ae_hybrid,mlp_ae,hybrid,100000,512,-0.03360692784190178,0.22237628698349,-2.4123716354370117,2.6362462043762207,0.13323701918125153,5.071460723876953,0.42139217257499695,0.005792558658868074,0.05783833935856819,0.1362796574831009,0.008682654239237309,0.0,1.0,0.03993811458349228,0.13826040923595428,0.21022674441337585,0.3187892735004425,207.27073669433594,55875.19140625,nan,nan
mlp_ae_transnet,mlp_ae,transnet,100000,512,-0.0003271645400673151,0.2655549645423889,-2.061455488204956,1.9909169673919678,0.2058049440383911,5.897810459136963,1.149711012840271,0.003270429791882634,0.032680291682481766,0.250570684671402,0.013117140159010887,0.0,1.0,0.035675376653671265,0.12764254212379456,0.20172102749347687,0.3156033158302307,200.327392578125,92540.421875,nan,nan
mlp_mixer_cnn_residual,mlp_mixer,cnn_residual,100000,512,-0.01841811090707779,11.96467113494873,-72.52613830566406,78.65225982666016,3.5605125427246094,270.729248046875,0.6070513725280762,0.0010839843889698386,0.010827246122062206,0.535298228263855,0.2166297435760498,0.0,1.0,0.025703178718686104,0.10018801689147949,0.16376565396785736,0.25937849283218384,232.41952514648438,195526.90625,nan,nan
mlp_mixer_hybrid,mlp_mixer,hybrid,100000,512,0.03380725905299187,0.7364152669906616,-8.481392860412598,9.26546573638916,0.4196226894855499,16.631105422973633,1.285668134689331,0.0019610547460615635,0.019555801525712013,0.4201071560382843,0.02846762165427208,0.0,1.0,0.037033312022686005,0.13200052082538605,0.20275171101093292,0.3144107162952423,196.98626708984375,21046.33203125,nan,nan
mlp_mixer_transnet,mlp_mixer,transnet,100000,512,0.0034819385036826134,0.36413154006004333,-3.0503365993499756,2.543773651123047,0.2852765917778015,8.106744766235352,1.4744131565093994,0.0023213671520352364,0.023172812536358833,0.32455915212631226,0.017347663640975952,0.0,1.0,0.030999206006526947,0.11845037341117859,0.1928587257862091,0.30409926176071167,201.51443481445312,74092.078125,nan,nan
resnet_cnn_residual,resnet,cnn_residual,100000,512,0.14157181978225708,21.699914932250977,-147.0053253173828,143.95388793945312,5.8970208168029785,491.0185241699219,2.2035984992980957,0.000869882816914469,0.008643281646072865,0.7067309021949768,0.2598736882209778,0.0,1.0,0.02894444204866886,0.11605815589427948,0.19631724059581757,0.31155115365982056,193.0139617919922,111375.7421875,nan,nan
resnet_hybrid,resnet,hybrid,100000,512,0.09749793261289597,2.2903361320495605,-29.625057220458984,18.026731491088867,1.3133864402770996,51.74787902832031,3.576401472091675,0.0005618554423563182,0.005611054599285126,1.4685858488082886,0.12525643408298492,0.0,1.0,0.04862472414970398,0.17060261964797974,0.2715633511543274,0.41517990827560425,134.1311492919922,104734.3984375,nan,nan
resnet_transnet,resnet,transnet,100000,512,0.0015924990875646472,1.0206419229507446,-10.916772842407227,8.04006290435791,0.7949668169021606,22.629993438720703,4.608715057373047,0.0008378515485674143,0.0083388090133667,0.9900025129318237,0.12284944951534271,0.0,1.0,0.06808724254369736,0.20898671448230743,0.3171941339969635,0.45532989501953125,124.74968719482422,71028.0,nan,nan
sparse_resnet_cnn_residual,sparse_resnet,cnn_residual,100000,512,0.08616700023412704,20.831037521362305,-156.55706787109375,162.1190643310547,5.538087368011475,471.3510437011719,2.2814114093780518,0.0009543164051137865,0.00953994132578373,0.6864021420478821,0.24588876962661743,0.0,1.0,0.028711147606372833,0.12052691727876663,0.2014429122209549,0.3194097876548767,191.14634704589844,100627.1796875,nan,nan
sparse_resnet_hybrid,sparse_resnet,hybrid,100000,512,-0.12808838486671448,2.235165596008301,-21.831098556518555,32.820526123046875,1.2747645378112793,50.53641891479492,3.522031545639038,0.0005784179666079581,0.0058026365004479885,1.4114797115325928,0.12710677087306976,0.0,1.0,0.04763196408748627,0.17977720499038696,0.28023040294647217,0.4198731780052185,131.32009887695312,78033.9765625,nan,nan
sparse_resnet_transnet,sparse_resnet,transnet,100000,512,-0.014728574082255363,1.1133612394332886,-11.205501556396484,9.182966232299805,0.8677443861961365,24.730785369873047,4.8125691413879395,0.0007645703153684735,0.0076500000432133675,1.0772244930267334,0.15734998881816864,0.0,1.0,0.05962855741381645,0.21856151521205902,0.33724913001060486,0.47689270973205566,117.03829956054688,31282.703125,nan,nan
swin_cnn_residual,swin,cnn_residual,100000,512,0.0076176817528903484,6.987912178039551,-45.273780822753906,45.418880462646484,2.3310258388519287,158.11758422851562,0.5340389609336853,0.00196693348698318,0.019701601937413216,0.32661476731300354,0.11137131601572037,0.0,1.0,0.023736724629998207,0.097077377140522,0.16296520829200745,0.26993095874786377,214.37049865722656,118350.0,nan,nan
swin_hybrid,swin,hybrid,100000,512,0.003171600867062807,0.5896438360214233,-5.215826988220215,6.577285289764404,0.37121033668518066,13.295543670654297,1.11613130569458,0.002040605526417494,0.020341992378234863,0.4061880111694336,0.03737751767039299,0.0,1.0,0.03799498453736305,0.1361360102891922,0.2173188328742981,0.3464645445346832,168.87567138671875,9057.4560546875,nan,nan
swin_transnet,swin,transnet,100000,512,-0.0005951544735580683,0.33171510696411133,-2.9696481227874756,2.647693395614624,0.2596750557422638,7.349488735198975,1.5241625308990479,0.0025347655173391104,0.025424804538488388,0.32560819387435913,0.01941564679145813,0.0,1.0,0.036551669239997864,0.13494957983493805,0.2113094925880432,0.3387439548969269,172.83627319335938,19250.5,nan,nan
transnet_cnn_residual,transnet,cnn_residual,100000,512,-0.2841692268848419,12.477425575256348,-87.55184936523438,79.33586883544922,3.859225273132324,282.3833312988281,3.509092330932617,0.0010123437969014049,0.010161562822759151,0.6465488076210022,0.2789664566516876,0.0,1.0,0.05690619349479675,0.11890731006860733,0.17746815085411072,0.27452877163887024,216.49630737304688,1468404.5,nan,nan
transnet_hybrid,transnet,hybrid,100000,512,-0.005868458189070225,1.2074987888336182,-12.553022384643555,10.790224075317383,0.720647394657135,27.282546997070312,1.4844244718551636,0.0011412695748731494,0.011332930065691471,0.6981852054595947,0.051240816712379456,0.0,1.0,0.03956688940525055,0.14568711817264557,0.22366681694984436,0.33897244930267334,179.0598907470703,528987.5625,nan,nan
transnet_transnet,transnet,transnet,100000,512,0.02388472855091095,0.800708532333374,-5.949240684509277,5.402513027191162,0.6266855597496033,17.884857177734375,2.946963310241699,0.00105740234721452,0.010576601140201092,0.7368507981300354,0.08474328368902206,0.0,1.0,0.09808243066072464,0.20861056447029114,0.2881770133972168,0.40596553683280945,138.93301391601562,382169.15625,nan,nan
