left,right,centroid_l2,centroid_cosine,std_profile_l2,std_profile_cosine,covariance_frobenius
attention_cnn_transnet,transnet_cnn_residual,282.0015563964844,-0.018216682597994804,6.552985668182373,0.9151920676231384,27.422176361083984
attention_cnn_transnet,transnet_hybrid,22.440811157226562,-0.037614576518535614,2.9463233947753906,0.995000958442688,28.596721649169922
attention_cnn_transnet,transnet_transnet,7.145862102508545,0.009228397160768509,4.014858722686768,0.991429328918457,40.078773498535156
cbam_cnn_cnn_residual,cbam_cnn_hybrid,365.4537658691406,-0.002339452039450407,14.770981788635254,0.9404093623161316,77.52168273925781
cbam_cnn_cnn_residual,cbam_cnn_transnet,364.4004821777344,-0.05675530061125755,16.585643768310547,0.9393326640129089,93.79308319091797
cbam_cnn_cnn_residual,clnet_cnn_residual,427.31646728515625,-0.0017456721980124712,5.460004806518555,0.9290589094161987,17.392507553100586
cbam_cnn_cnn_residual,clnet_hybrid,364.5455017089844,-0.0009139651665464044,6.3680806159973145,0.9426684379577637,27.90416717529297
cbam_cnn_cnn_residual,clnet_transnet,364.02728271484375,-0.010040760040283203,4.436575889587402,0.9435265064239502,20.490108489990234
cbam_cnn_cnn_residual,cnn_cnn_residual,502.63330078125,-0.007304036058485508,5.479272842407227,0.9125401973724365,21.45909881591797
cbam_cnn_cnn_residual,cnn_hybrid,365.2646789550781,0.007384891156107187,15.9117431640625,0.9414098858833313,83.03047943115234
cbam_cnn_cnn_residual,cnn_transnet,364.1518249511719,-0.027487117797136307,12.945180892944336,0.9421128034591675,67.46922302246094
cbam_cnn_cnn_residual,convnext_cnn_residual,775.2744750976562,-0.0102531211450696,42.79541778564453,0.6779318451881409,1633.0126953125
cbam_cnn_cnn_residual,convnext_hybrid,366.6231994628906,-0.02967481128871441,34.31135940551758,0.9381458759307861,209.46714782714844
cbam_cnn_cnn_residual,convnext_transnet,364.10516357421875,0.012409493327140808,16.646623611450195,0.9432607889175415,78.35225677490234
cbam_cnn_cnn_residual,crnet_cnn_residual,408.43115234375,0.11790499091148376,4.822834014892578,0.9324283003807068,17.02126121520996
cbam_cnn_cnn_residual,crnet_hybrid,364.2264709472656,-0.0011623953469097614,5.38464879989624,0.9425826668739319,26.720272064208984
cbam_cnn_cnn_residual,crnet_transnet,364.0364074707031,-0.009597687050700188,4.375284671783447,0.9429639577865601,20.17183494567871
cbam_cnn_cnn_residual,csinet_cnn_residual,414.0966796875,0.046587154269218445,5.238669395446777,0.9273315668106079,21.636152267456055
cbam_cnn_cnn_residual,csinet_hybrid,364.4405517578125,0.0026452532038092613,8.426846504211426,0.9404215216636658,36.77487564086914
cbam_cnn_cnn_residual,csinet_transnet,364.0423889160156,-0.0094646867364645,12.08248233795166,0.9427669048309326,50.16644287109375
cbam_cnn_cnn_residual,dscnn_cnn_residual,449.3427429199219,0.043814338743686676,5.732775688171387,0.8961893320083618,18.804298400878906
cbam_cnn_cnn_residual,dscnn_hybrid,364.5476989746094,0.0040091355331242085,13.954547882080078,0.943303108215332,73.33346557617188
cbam_cnn_cnn_residual,dscnn_transnet,364.2339172363281,-0.030783172696828842,17.47903060913086,0.9414154291152954,92.76483154296875
cbam_cnn_cnn_residual,mlp_ae_cnn_residual,454.85101318359375,0.024692319333553314,6.361042499542236,0.90777587890625,20.20311164855957
cbam_cnn_cnn_residual,mlp_ae_hybrid,364.0551452636719,-0.010303068906068802,10.057201385498047,0.9434190988540649,15.679916381835938
cbam_cnn_cnn_residual,mlp_ae_transnet,363.9727783203125,0.011988543905317783,7.77813196182251,0.9451512098312378,15.452682495117188
cbam_cnn_cnn_residual,mlp_mixer_cnn_residual,467.45989990234375,-0.06555687636137009,6.399941444396973,0.8787537813186646,18.197725296020508
cbam_cnn_cnn_residual,mlp_mixer_hybrid,364.3301086425781,-0.005967719480395317,5.031444072723389,0.9439131021499634,16.258821487426758
cbam_cnn_cnn_residual,mlp_mixer_transnet,363.7706604003906,0.0643954947590828,6.477646827697754,0.942196786403656,15.50957202911377
cbam_cnn_cnn_residual,resnet_cnn_residual,606.1166381835938,0.01658787578344345,8.007319450378418,0.8928930163383484,27.625904083251953
cbam_cnn_cnn_residual,resnet_hybrid,366.1534423828125,-1.768337097018957e-05,21.648574829101562,0.9405478239059448,126.67330932617188
cbam_cnn_cnn_residual,resnet_transnet,363.8537292480469,0.03483646363019943,11.374560356140137,0.9379392266273499,64.6129150390625
cbam_cnn_cnn_residual,sparse_resnet_cnn_residual,578.5549926757812,0.057354286313056946,7.889277458190918,0.8840311169624329,26.748411178588867
cbam_cnn_cnn_residual,sparse_resnet_hybrid,365.6356201171875,0.011842327192425728,20.37653923034668,0.9413731098175049,118.93665313720703
cbam_cnn_cnn_residual,sparse_resnet_transnet,363.972412109375,0.010784010402858257,13.402807235717773,0.9333433508872986,78.59508514404297
cbam_cnn_cnn_residual,swin_cnn_residual,420.12994384765625,-0.1659538447856903,6.808526515960693,0.8997501730918884,15.359247207641602
