model,metric,K,relative_error_mean,relative_error_std
transnet_transnet,pca_top1_ratio,512,0.06406648506073312,0.050132261410935526
transnet_transnet,pca_top1_ratio,1024,0.03663287072461557,0.029547098575669714
transnet_transnet,near_zero_1e_3,16,0.20405253012297564,0.12719170905840244
transnet_transnet,near_zero_1e_3,32,0.24992334595432336,0.1370999707633207
transnet_transnet,near_zero_1e_3,64,0.16653336661155652,0.13365020593286542
transnet_transnet,near_zero_1e_3,128,0.1728587538699972,0.10456309337523759
transnet_transnet,near_zero_1e_3,256,0.08513964027591273,0.04702522619669905
transnet_transnet,near_zero_1e_3,512,0.03607611876097998,0.017837915144035564
transnet_transnet,near_zero_1e_3,1024,0.04563629023263966,0.029736975982410596
dscnn_transnet,effective_rank,16,0.9165773213119266,0.002928101902437265
dscnn_transnet,effective_rank,32,0.8408370761837279,0.004589578129251234
dscnn_transnet,effective_rank,64,0.7216225627153976,0.004590994611475406
dscnn_transnet,effective_rank,128,0.5632267963704862,0.013743090587129069
dscnn_transnet,effective_rank,256,0.3765632883413653,0.014751700938866486
dscnn_transnet,effective_rank,512,0.22696059756176643,0.01326014079251419
dscnn_transnet,effective_rank,1024,0.12533672802845663,0.011947137691851262
dscnn_transnet,pca_top5_ratio,16,2.1675792737618633,0.15651072522987025
dscnn_transnet,pca_top5_ratio,32,1.1378275524590564,0.13231485556544248
dscnn_transnet,pca_top5_ratio,64,0.5624023803202609,0.06543982278996
dscnn_transnet,pca_top5_ratio,128,0.3080446585927371,0.06172414385153302
dscnn_transnet,pca_top5_ratio,256,0.12505038613618757,0.046679979549722965
dscnn_transnet,pca_top5_ratio,512,0.0560101656105233,0.03342600623524073
dscnn_transnet,pca_top5_ratio,1024,0.03304402424256461,0.023945203975295953
dscnn_transnet,std_global,16,0.04368264223655801,0.020914197598037976
dscnn_transnet,std_global,32,0.029131641990210688,0.024664989350781354
dscnn_transnet,std_global,64,0.016750992554795955,0.011898424616219924
dscnn_transnet,std_global,128,0.019180797171250576,0.013904991043659427
dscnn_transnet,std_global,256,0.010920080064696105,0.009296046046983489
dscnn_transnet,std_global,512,0.0071873919509366085,0.005259537765149448
dscnn_transnet,std_global,1024,0.0034928078552508082,0.0018968010874142757
dscnn_transnet,l2_mean,16,0.03938180779090589,0.020151531115755027
