exp_name,tensor,shape,numel,mse,rmse,target_rms,param_nmse_db
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.norm.weight,64,64,0.0004130461302478841,0.02032353636176254,0.5539973523195014,-28.710168205872506
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.norm.bias,64,64,0.00123341377082746,0.03511999104253103,0.39217277202768386,-20.95846082985201
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,fc_decoder.weight,2048x512,1048576,7.595492748009811e-10,2.7559921531110736e-05,0.030175230880426396,-60.787452499992256
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,fc_decoder.bias,2048,2048,9.42004868837638e-10,3.069209782399434e-05,0.029523661172096035,-59.66287277528778
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.self_attn.in_proj_weight,192x64,12288,6.7808031480151625e-09,8.234563223398775e-05,0.07650445754106706,-59.36092343564373
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.self_attn.in_proj_bias,192,192,2.078316012087493e-06,0.0014416365742056813,0.034529753010065584,-27.586753601564986
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.self_attn.out_proj.weight,64x64,4096,1.4485946485259082e-08,0.00012035757759800203,0.12433558691178229,-60.28244020993026
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.self_attn.out_proj.bias,64,64,2.2040225469778485e-06,0.0014845950784566977,0.03740532436454452,-28.026508172588834
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.multihead_attn.in_proj_weight,192x64,12288,6.7666013873517845e-09,8.225935440636393e-05,0.080837890663457,-59.84859352078627
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.multihead_attn.in_proj_bias,192,192,1.3865346722777424e-07,0.0003723620109890028,0.009713433585413543,-28.328148159547997
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.multihead_attn.out_proj.weight,64x64,4096,2.0560253233983526e-08,0.0001433884696688807,0.12445934787902392,-58.77026582803005
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.multihead_attn.out_proj.bias,64,64,1.4638038542817228e-07,0.00038259689678324924,0.008085403322060775,-26.499204908151917
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.linear1.weight,2048x64,131072,1.2812444232773453e-09,3.579447475906505e-05,0.0400107404598842,-60.967211893714435
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.linear1.bias,2048,2048,4.686288707270842e-09,6.845647308524478e-05,0.0737433046248414,-60.64616150510414
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.linear2.weight,64x2048,131072,1.225573863111246e-09,3.500819708455787e-05,0.03941496464912943,-61.02982792253112
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.linear2.bias,64,64,1.1602532700169443e-06,0.0010771505326633527,0.013715221543045475,-22.098528532867686
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm1.weight,64,64,3.882535064947401e-06,0.001970414947402552,0.9690152033008775,-53.8354579514825
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm1.bias,64,64,9.828341054160018e-08,0.0003135018509380769,0.008000286254525481,-28.137308345560776
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm2.weight,64,64,2.9242669607465466e-06,0.0017100488182348907,0.998719212587449,-55.328697916610786
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm2.bias,64,64,6.292392008506143e-08,0.00025084640735928713,0.007096283218946274,-29.032461096721857
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm3.weight,64,64,7.86921672357721e-06,0.002805212420401922,1.021024653215493,-51.22140950756972
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.0.norm3.bias,64,64,2.3318617170860444e-07,0.00048289354076090564,0.011242784309862681,-27.340449652823352
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.self_attn.in_proj_weight,192x64,12288,8.539850135431151e-09,9.241130956452868e-05,0.0871057289978985,-59.486431901435566
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.self_attn.in_proj_bias,192,192,6.285740467225932e-07,0.0007928266183236996,0.015329965907115268,-25.72725932614281
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.self_attn.out_proj.weight,64x64,4096,1.503544139179945e-08,0.00012261909064986354,0.11489184124440859,-59.43462196801181
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.self_attn.out_proj.bias,64,64,8.880121166070112e-08,0.0002979953215416328,0.007621806704674461,-28.1569696940513
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.multihead_attn.in_proj_weight,192x64,12288,9.174700459709169e-09,9.57846567029875e-05,0.09907949824204727,-60.29375703046114
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.multihead_attn.in_proj_bias,192,192,4.6351922364491913e-07,0.0006808224611783303,0.013955274816620719,-26.2340903619933
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.multihead_attn.out_proj.weight,64x64,4096,1.6649019296068087e-08,0.00012903107879913306,0.12329886185470537,-59.60529478820267
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.multihead_attn.out_proj.bias,64,64,1.0851191516732257e-06,0.0010416905258632363,0.01886602162172027,-25.158832270924613
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.linear1.weight,2048x64,131072,1.1868541828954038e-09,3.44507501064259e-05,0.04387927070683904,-62.101214368481735
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.linear1.bias,2048,2048,3.888888171899675e-09,6.236095069752927e-05,0.07399309192388198,-61.48556895989341
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.linear2.weight,64x2048,131072,1.334732788264964e-09,3.653399496722148e-05,0.04613731655734028,-62.027103336686366
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.linear2.bias,64,64,1.4375507293786e-06,0.0011989790362548463,0.024829387855416937,-26.32308845806282
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm1.weight,64,64,3.0756991629687924e-06,0.0017537671347612807,1.0403915942466144,-55.46449814932547
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm1.bias,64,64,4.5703738398443906e-07,0.0006760454008307719,0.01528709030156096,-27.08697936744192
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm2.weight,64,64,6.138948995870752e-06,0.002477690254222822,1.0234030634075817,-52.3199940011671
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm2.bias,64,64,1.5866141172566491e-06,0.0012596087159339002,0.023942704724196733,-25.578751049615768
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm3.weight,64,64,3.5478955207612906e-06,0.0018835858145466297,0.9861710463476293,-54.37933673138101
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.layers.1.norm3.bias,64,64,1.5468907387109586e-06,0.0012437406235670516,0.02257113991355051,-25.176473464084218
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.norm.weight,64,64,0.00012569125690960154,0.011211211215100781,0.5539973523195014,-33.87710309091022
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep2000_seed42,decoder.norm.bias,64,64,0.0006272136118173447,0.02504423310499534,0.39217277202768386,-23.895394010603223
