rel_path,scheme,adapter,seed,encoder,decoder,epochs,nmse,source_self_nmse,loss_code,loss_fc,delta_ratio,gate_mean,gate_std,lowrank_ratio,mlp_ratio,decoder42_self_nmse,adapter_vs_source_nmse_delta,adapter_vs_decoder42_nmse_delta
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,csinet,transnet,100,-23.633,-25.998,0.00023421,9.2158e-05,4.4106,0.22003,0.071061,3.2841,5.4802,-29.579,2.365000000000002,5.9460000000000015
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,crnet,transnet,400,-23.294,-24.922,0.00014037,5.3606e-05,0.22453,0.082407,0.014743,0.67504,0.70386,-29.579,1.6280000000000001,6.285
adapter/aux_pca_5e-3_code_reg_mid/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_5e-3_code_reg_mid,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-23.191,-25.44,0.0016195,0.00064713,0.072506,0.28116,0.025889,0.26185,0.27118,-25.509,2.2490000000000023,2.3180000000000014
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,crnet,transnet,100,-22.809,-24.922,0.00019217,7.5506e-05,0.22174,0.076748,0.011949,0.44299,0.48312,-29.579,2.1129999999999995,6.77
adapter/aux_pca_5e-3_code_reg_weak/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_5e-3_code_reg_weak,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-22.57,-26.085,0.0037545,0.0014443,0.12793,0.32388,0.05156,0.31225,0.33419,-26.639,3.5150000000000006,4.068999999999999
adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_linear,2026,transnet,transnet,400,-21.935,-29.62,0.00089501,0.0018598,0.74773,0.61165,0.11442,7.3642,,-29.528,7.685000000000002,7.593
adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_linear,2026,transnet,transnet,400,-20.187,-29.62,0.0013966,0.0020367,0.74609,0.46501,0.12986,6.84,,-29.528,9.433,9.340999999999998
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,csinet,transnet,400,-18.285,-22.864,0.00043341,0.00017006,0.5283,0.18479,0.074507,1.7578,1.8391,-29.579,4.579000000000001,11.294
adapter/aux_pca_5e-3_code_reg/mlp/best_code1e-3_lr2e-4/enc_seed2026_dec_seed42,aux_pca_5e-3_code_reg,mlp,2026,transnet,transnet,400,-16.703,-25.617,0.004038,,0.079961,,,,,-25.491,8.914000000000001,8.788
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,csinet,transnet,100,-16.522,-22.864,0.00098424,0.00040167,0.52901,0.21444,0.061616,1.3325,1.4273,-29.579,6.342000000000002,13.057000000000002
adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_1e-2_code_reg_weak,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-14.379,-27.507,0.0058309,0.0020659,0.2852,0.21628,0.027936,0.26474,0.38819,-27.104,13.128000000000002,12.725
adapter/aux_pca_1e-3/mlp/enc_seed2026_dec_seed42_recon1.0_code0.0_lr2e-4,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-12.571,-29.62,,,6.9877,,,,,-29.528,17.049,16.957
adapter/aux_pca_1e-3/diag_affine/rank32_code1e-3_fc1e-2_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,diag_affine,2026,transnet,transnet,400,-12.535,-29.62,0.011952,0.020163,0.76004,,,,,-29.528,17.085,16.993
adapter/aux_pca_1e-3/lowrank_affine/rank32_code1e-3_fc1e-2_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,lowrank_affine,2026,transnet,transnet,400,-11.259,-29.62,0.013335,0.038902,0.72892,,,,,-29.528,18.361,18.269
