name,encoder,decoder,path,num_samples,code_dim,mean,std,min,max,abs_mean,l2_norm_mean,l2_norm_std,near_zero_1e-3,dim_mean_abs_mean,dim_std_mean,dim_std_std,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,effective_rank_32
dscnn_transnet,dscnn,transnet,exps/seed42/COST2100/in/dscnn_transnet/base/codewords/train_code.pt,10000,512,-0.012351254001259804,1.3139768838882446,-8.846166610717773,8.845602035522461,1.0333471298217773,29.303415298461914,5.037261009216309,0.0006419921992346644,0.2111583650112152,1.281873345375061,0.09340690821409225,0.08612541854381561,0.3538871109485626,0.5520000457763672,27.041702270507812
mlp_ae_cnn_residual,mlp_ae,cnn_residual,exps/seed42/COST2100/in/mlp_ae_cnn_residual/base/codewords/train_code.pt,10000,512,-0.16570790112018585,12.462964057922363,-68.32229614257812,68.50957489013672,4.48838996887207,282.0067443847656,3.5914559364318848,0.0014894531341269612,4.3719682693481445,0.3547627925872803,0.10483483970165253,0.41770949959754944,0.5551430583000183,0.6669390201568604,14.021055221557617
mlp_ae_hybrid,mlp_ae,hybrid,exps/seed42/COST2100/in/mlp_ae_hybrid/base/codewords/train_code.pt,10000,512,-0.03357720375061035,0.2221483737230301,-2.2482409477233887,2.4365971088409424,0.13296745717525482,5.066558361053467,0.4175855815410614,0.005827539134770632,0.05991335213184357,0.13590264320373535,0.008864170871675014,0.10053345561027527,0.35498860478401184,0.5355168581008911,27.221355438232422
mlp_ae_transnet,mlp_ae,transnet,exps/seed42/COST2100/in/mlp_ae_transnet/base/codewords/train_code.pt,10000,512,-0.0004664851585403085,0.2658965289592743,-1.8083215951919556,1.7955212593078613,0.2059917449951172,5.9030303955078125,1.1632890701293945,0.003267773427069187,0.033419083803892136,0.2509037256240845,0.013363337144255638,0.08946003019809723,0.32098081707954407,0.5065716505050659,28.21862030029297
mlp_mixer_cnn_residual,mlp_mixer,cnn_residual,exps/seed42/COST2100/in/mlp_mixer_cnn_residual/base/codewords/train_code.pt,10000,512,-0.01832413487136364,11.964492797851562,-71.98442077636719,78.52960205078125,3.5600781440734863,270.7251892089844,0.6206459999084473,0.001068359357304871,3.338637113571167,0.5354055762290955,0.21674133837223053,0.07524248957633972,0.2990484833717346,0.48939037322998047,29.146024703979492
mlp_mixer_hybrid,mlp_mixer,hybrid,exps/seed42/COST2100/in/mlp_mixer_hybrid/base/codewords/train_code.pt,10000,512,0.033926572650671005,0.7369360327720642,-8.187117576599121,8.63912582397461,0.4202422797679901,16.642290115356445,1.295289158821106,0.001917968736961484,0.15371274948120117,0.42108938097953796,0.02874855510890484,0.09254226088523865,0.3296078145503998,0.5069435238838196,28.114154815673828
mlp_mixer_transnet,mlp_mixer,transnet,exps/seed42/COST2100/in/mlp_mixer_transnet/base/codewords/train_code.pt,10000,512,0.0036964439786970615,0.36400288343429565,-2.627481698989868,2.4626400470733643,0.28517648577690125,8.103997230529785,1.4735136032104492,0.0023218749556690454,0.12240924686193466,0.3244066834449768,0.01740431971848011,0.0781354084610939,0.3082633316516876,0.4996839463710785,28.674877166748047
resnet_cnn_residual,resnet,cnn_residual,exps/seed42/COST2100/in/resnet_cnn_residual/base/codewords/train_code.pt,10000,512,0.14130418002605438,21.69921875,-143.88381958007812,140.83132934570312,5.8970232009887695,491.0028076171875,2.1929714679718018,0.0008412109455093741,5.570019721984863,0.7061548233032227,0.26039841771125793,0.07432630658149719,0.2858903408050537,0.4875265657901764,29.21759605407715
resnet_hybrid,resnet,hybrid,exps/seed42/COST2100/in/resnet_hybrid/base/codewords/train_code.pt,10000,512,0.09769964963197708,2.291712522506714,-29.095703125,17.347328186035156,1.315441608428955,51.780662536621094,3.5562076568603516,0.0005566406180150807,0.3119111657142639,1.4707756042480469,0.12621290981769562,0.09528550505638123,0.33098095655441284,0.5260506868362427,27.626558303833008
resnet_transnet,resnet,transnet,exps/seed42/COST2100/in/resnet_transnet/base/codewords/train_code.pt,10000,512,0.0017958087846636772,1.0209972858428955,-9.87738037109375,7.186108589172363,0.7950953245162964,22.631330490112305,4.64235258102417,0.0008437500218860805,0.15476441383361816,0.9903193116188049,0.12312180548906326,0.1253812164068222,0.3789847791194916,0.5753682255744934,25.682891845703125
sparse_resnet_cnn_residual,sparse_resnet,cnn_residual,exps/seed42/COST2100/in/sparse_resnet_cnn_residual/base/codewords/train_code.pt,10000,512,0.08601293712854385,20.82999610900879,-155.67276000976562,160.78900146484375,5.5367937088012695,471.3275146484375,2.2804675102233887,0.0009488281211815774,5.211280345916748,0.6849981546401978,0.2453777939081192,0.07461021095514297,0.30195969343185425,0.500717043876648,28.823623657226562
sparse_resnet_hybrid,sparse_resnet,hybrid,exps/seed42/COST2100/in/sparse_resnet_hybrid/base/codewords/train_code.pt,10000,512,-0.12826649844646454,2.2350478172302246,-21.831098556518555,32.699127197265625,1.2743643522262573,50.535457611083984,3.500793218612671,0.0005824218969792128,0.3757382035255432,1.4107686281204224,0.12726756930351257,0.0908689871430397,0.34196510910987854,0.5389358997344971,27.311405181884766
sparse_resnet_transnet,sparse_resnet,transnet,exps/seed42/COST2100/in/sparse_resnet_transnet/base/codewords/train_code.pt,10000,512,-0.01401796005666256,1.1144843101501465,-9.450464248657227,8.285761833190918,0.8689283132553101,24.762535095214844,4.781220436096191,0.0007501952932216227,0.18309661746025085,1.078294038772583,0.15775789320468903,0.10486134141683578,0.3816552758216858,0.5926534533500671,25.60625648498535
swin_cnn_residual,swin,cnn_residual,exps/seed42/COST2100/in/swin_cnn_residual/base/codewords/train_code.pt,10000,512,0.007713397033512592,6.987965106964111,-45.125553131103516,45.1229362487793,2.3314647674560547,158.1187744140625,0.5418503880500793,0.0019474609289318323,2.177713394165039,0.32729390263557434,0.11138259619474411,0.06784762442111969,0.27694740891456604,0.4624142050743103,29.75322151184082
swin_hybrid,swin,hybrid,exps/seed42/COST2100/in/swin_hybrid/base/codewords/train_code.pt,10000,512,0.003238782985135913,0.5897130370140076,-4.941805839538574,6.484707832336426,0.37135183811187744,13.296828269958496,1.1196578741073608,0.002055468736216426,0.07987306267023087,0.4064429700374603,0.03730485960841179,0.08323261886835098,0.3068251609802246,0.49724990129470825,28.468196868896484
swin_transnet,swin,transnet,exps/seed42/COST2100/in/swin_transnet/base/codewords/train_code.pt,10000,512,-0.0007369451341219246,0.3320740759372711,-2.381760597229004,2.3267219066619873,0.2597881257534027,7.354270935058594,1.541053295135498,0.0025093751028180122,0.05086344853043556,0.3259643316268921,0.01932661235332489,0.08396356552839279,0.31436488032341003,0.4929666519165039,28.526939392089844
transnet_cnn_residual,transnet,cnn_residual,exps/seed42/COST2100/in/transnet_cnn_residual/base/codewords/train_code.pt,10000,512,-0.2842061221599579,12.475920677185059,-87.55184936523438,78.58458709716797,3.859469413757324,282.34930419921875,3.5082180500030518,0.001018359325826168,3.6034486293792725,0.6473115682601929,0.2788154184818268,0.16388772428035736,0.34388500452041626,0.507206916809082,26.464078903198242
transnet_hybrid,transnet,hybrid,exps/seed42/COST2100/in/transnet_hybrid/base/codewords/train_code.pt,10000,512,-0.005872510373592377,1.2083114385604858,-11.910187721252441,9.999268531799316,0.7218926548957825,27.300521850585938,1.4925260543823242,0.0011263671331107616,0.27459555864334106,0.700107216835022,0.05140548571944237,0.09734617918729782,0.3436307907104492,0.5270665884017944,27.51458168029785
transnet_transnet,transnet,transnet,exps/seed42/COST2100/in/transnet_transnet/base/codewords/train_code.pt,10000,512,0.02347131259739399,0.7986063361167908,-5.949240684509277,5.402513027191162,0.625103771686554,17.83695411682129,2.9435346126556396,0.001027734368108213,0.21275721490383148,0.7346811294555664,0.08420107513666153,0.19971534609794617,0.4241776466369629,0.5865226984024048,23.379253387451172
